epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.35798,1.09476,2.56604,1.65254,0.38326,0.88044,0.41547,0.30324,0.72653,3.11154,1.34055,7.14e-06,7.14e-06,7.14e-06
2,6.10621,1.14924,2.75934,1.66802,0.37327,0.83333,0.39512,0.2762,0.74032,3.19461,1.36616,2.14094e-05,2.14094e-05,2.14094e-05
3,8.79601,1.18389,2.88525,1.6837,0.38076,0.79167,0.37515,0.26001,0.76026,3.28611,1.38971,3.56647e-05,3.56647e-05,3.56647e-05
4,11.4981,1.22062,2.76219,1.769,0.35394,0.79167,0.35914,0.23962,0.78353,3.34028,1.42537,4.99058e-05,4.99058e-05,4.99058e-05
5,14.2143,1.05333,2.62366,1.61327,0.91768,0.95833,0.95576,0.77454,0.52152,2.97048,1.10659,6.41328e-05,6.41328e-05,6.41328e-05
6,17.1811,0.69602,1.44767,1.40135,0.93918,1,0.9902,0.80953,0.62183,2.1287,1.21551,7.83456e-05,7.83456e-05,7.83456e-05
7,20.1107,0.56549,1.04043,1.26861,0.98335,1,0.995,0.88541,0.50491,1.32822,1.06192,9.25443e-05,9.25443e-05,9.25443e-05
8,23.0551,0.50461,0.88395,1.26179,0.97191,0.95833,0.99192,0.89063,0.49554,1.76563,1.03596,0.000106729,0.000106729,0.000106729
9,25.9976,0.47102,0.70811,1.17751,0.96105,1,0.995,0.85802,0.58233,2.09359,1.19621,0.000120899,0.000120899,0.000120899
10,28.8788,0.41519,0.64888,1.13435,0.98485,1,0.995,0.83188,0.61404,1.8792,1.25529,0.000135056,0.000135056,0.000135056
11,31.7297,0.41047,0.54583,1.12408,0.9833,1,0.995,0.86134,0.62455,1.40818,1.25017,0.000149198,0.000149198,0.000149198
12,34.6166,0.45086,0.53858,1.14786,0.98544,1,0.995,0.87838,0.55059,1.22863,1.17708,0.000163326,0.000163326,0.000163326
13,37.4677,0.44128,0.53081,1.17133,0.95632,0.91251,0.97947,0.78322,0.67797,1.42662,1.28552,0.00017744,0.00017744,0.00017744
14,40.341,0.44184,0.47623,1.16781,1,0.98606,0.995,0.79162,0.8061,1.32871,1.31761,0.000191539,0.000191539,0.000191539
15,43.2043,0.4265,0.42202,1.12101,0.91974,1,0.9902,0.69184,0.90815,1.41831,1.46366,0.000205625,0.000205625,0.000205625
16,46.1047,0.38561,0.43134,1.12729,0.95784,0.94696,0.97887,0.72478,0.88518,1.2437,1.5619,0.000219697,0.000219697,0.000219697
17,48.9597,0.43584,0.37914,1.16336,0.94484,1,0.9886,0.69908,0.92884,1.2283,1.68983,0.000233754,0.000233754,0.000233754
18,51.823,0.37431,0.34707,1.11292,0.90544,1,0.98363,0.74984,0.77026,1.11895,1.36808,0.000247797,0.000247797,0.000247797
19,54.6817,0.36878,0.34286,1.11457,0.91778,1,0.9746,0.82051,0.61783,1.14204,1.0961,0.000261826,0.000261826,0.000261826
20,57.5741,0.42767,0.33097,1.13939,0.91677,0.91793,0.98388,0.82035,0.66168,1.05956,1.14783,0.000275841,0.000275841,0.000275841
21,60.4314,0.43189,0.36257,1.13403,0.89015,1,0.98577,0.70121,0.86053,1.13327,1.3704,0.000289842,0.000289842,0.000289842
22,63.2786,0.40369,0.33185,1.09481,0.72607,1,0.78673,0.41666,1.22566,1.4446,1.7556,0.000303829,0.000303829,0.000303829
23,66.1252,0.45914,0.42021,1.18501,0.8508,1,0.85929,0.541,1.06538,1.38212,1.83811,0.000317801,0.000317801,0.000317801
24,68.997,0.41434,0.39773,1.13616,0.9224,1,0.9686,0.68674,1.00974,0.98142,1.93042,0.000331759,0.000331759,0.000331759
25,71.8554,0.47056,0.40914,1.15822,0.95637,1,0.9834,0.8503,0.57436,0.70887,1.19504,0.000345704,0.000345704,0.000345704
26,74.7179,0.40005,0.37454,1.08009,0.99509,0.95833,0.9934,0.7905,0.73743,0.84094,1.33696,0.000359634,0.000359634,0.000359634
27,77.5915,0.47724,0.37052,1.15928,0.94602,0.73078,0.90729,0.67229,0.94151,1.0704,1.52248,0.00037355,0.00037355,0.00037355
28,80.4445,0.41135,0.31651,1.11318,0.91569,0.90548,0.94701,0.72059,0.7616,0.83355,1.32554,0.000387452,0.000387452,0.000387452
29,83.2934,0.41384,0.34278,1.1211,0.8506,1,0.95861,0.77612,0.70181,0.62319,1.5,0.000401339,0.000401339,0.000401339
30,86.1632,0.41432,0.33508,1.14106,0.95458,1,0.9818,0.77619,0.66369,0.62361,1.37851,0.000415213,0.000415213,0.000415213
31,89.0258,0.47821,0.34721,1.17961,0.95982,0.99554,0.9818,0.80345,0.60446,0.61082,1.28361,0.000429072,0.000429072,0.000429072
32,91.8698,0.41923,0.35593,1.13344,0.95763,0.94211,0.97847,0.68499,1.00175,0.80074,1.57389,0.000442918,0.000442918,0.000442918
33,94.7172,0.39557,0.34551,1.10071,0.98264,1,0.995,0.74114,0.85151,0.6435,1.46256,0.000456749,0.000456749,0.000456749
34,97.5767,0.46428,0.33086,1.13182,1,0.86563,0.97244,0.73732,0.79477,0.67093,1.47271,0.000470566,0.000470566,0.000470566
35,100.466,0.48163,0.3602,1.18992,0.90671,0.95833,0.98736,0.7498,0.8663,0.68487,1.48043,0.000484369,0.000484369,0.000484369
36,103.348,0.4128,0.33218,1.11916,0.95825,0.95633,0.99026,0.79027,0.85824,0.67471,1.65301,0.000498157,0.000498157,0.000498157
37,106.196,0.3922,0.33478,1.10032,0.57369,0.875,0.66734,0.43505,1.21425,1.46047,2.05824,0.000511932,0.000511932,0.000511932
